---START---
-55.00, 27.08, 109.05, -37.92, 
-54.00, 26.87, 109.49, -38.52, 
-53.00, 27.10, 107.61, -38.01, 
-52.00, 26.98, 108.05, -37.91, 
-51.00, 27.02, 107.46, -38.36, 
-50.00, 26.73, 108.73, -38.18, 
-49.00, 26.80, 108.28, -38.28, 
-48.00, 26.81, 106.91, -38.53, 
-47.00, 27.08, 107.43, -37.94, 
-46.00, 26.82, 106.13, -37.95, 
-45.00, 27.06, 106.98, -38.12, 
-44.00, 27.19, 106.35, -38.33, 
-43.00, 26.95, 106.61, -38.63, 
-42.00, 27.20, 104.92, -38.61, 
-41.00, 26.94, 105.74, -38.56, 
-40.00, 27.07, 104.83, -38.72, 
-39.00, 27.19, 104.65, -39.08, 
-38.00, 26.95, 104.74, -38.85, 
-37.00, 26.81, 104.40, -38.57, 
-36.00, 27.07, 104.06, -39.11, 
-35.00, 26.92, 103.19, -38.62, 
-34.00, 26.82, 103.38, -38.96, 
-33.00, 27.05, 102.34, -38.42, 
-32.00, 27.34, 103.22, -38.75, 
-31.00, 27.23, 102.48, -38.91, 
-30.00, 27.48, 102.55, -38.90, 
-29.00, 27.22, 101.65, -38.44, 
-28.00, 27.10, 101.60, -38.60, 
-27.00, 27.14, 100.94, -39.01, 
-26.00, 27.31, 101.20, -38.62, 
-25.00, 27.33, 101.30, -38.67, 
-24.00, 27.39, 101.02, -38.80, 
-23.00, 27.04, 101.02, -38.97, 
-22.00, 27.38, 99.98, -39.56, 
-21.00, 27.23, 99.99, -39.38, 
-20.00, 27.56, 99.25, -39.18, 
-19.00, 27.55, 99.63, -38.75, 
-18.00, 27.45, 98.94, -39.32, 
-17.00, 27.58, 98.80, -39.10, 
-16.00, 27.53, 98.10, -39.39, 
-15.00, 27.63, 99.35, -38.82, 
-14.00, 27.74, 98.18, -39.32, 
-13.00, 27.76, 98.20, -39.67, 
-12.00, 27.71, 97.84, -39.52, 
-11.00, 27.59, 97.74, -39.25, 
-10.00, 27.70, 97.38, -39.09, 
-9.00, 27.73, 97.16, -39.19, 
-8.00, 27.68, 96.78, -39.07, 
-7.00, 27.61, 96.71, -39.21, 
-6.00, 27.73, 96.45, -39.17, 
-5.00, 27.66, 95.85, -39.15, 
-4.00, 27.85, 95.59, -38.98, 
-3.00, 27.82, 95.15, -39.29, 
-2.00, 27.67, 95.00, -39.30, 
-1.00, 27.36, 94.79, -39.52, 
0.00, 27.59, 94.69, -39.33, 
1.00, 27.52, 94.57, -39.66, 
2.00, 27.73, 94.13, -39.12, 
3.00, 27.65, 93.89, -39.32, 
4.00, 27.67, 93.31, -39.47, 
